class,precision,recall,f1_score,support
0,0.9897750511247444,0.9603174603174603,0.9748237663645518,504.0
1,0.9897750511247444,0.9738430583501007,0.9817444219066938,497.0
2,0.9556541019955654,0.9795454545454545,0.9674523007856342,440.0
3,0.9445506692160612,0.9840637450199203,0.9639024390243902,502.0
4,0.9757709251101322,0.9757709251101322,0.9757709251101322,454.0
5,0.9975369458128078,0.9619952494061758,0.9794437726723095,421.0
6,0.9761904761904762,0.9890350877192983,0.9825708061002179,456.0
7,0.9014084507042254,0.9365853658536586,0.9186602870813397,410.0
8,0.9957716701902748,0.9874213836477987,0.991578947368421,477.0
9,0.9402061855670103,0.9559748427672956,0.9480249480249481,477.0
10,0.9978260869565218,0.9870967741935484,0.9924324324324324,465.0
11,0.9533468559837728,0.9957627118644068,0.9740932642487047,472.0
12,0.991578947368421,0.98125,0.9863874345549738,480.0
13,0.9883449883449883,0.986046511627907,0.9871944121071012,430.0
14,0.9976190476190476,0.9905437352245863,0.9940688018979834,423.0
15,0.9823529411764705,0.9960238568588469,0.9891411648568608,503.0
16,0.9908466819221968,0.9433551198257081,0.9665178571428571,459.0
17,0.9707207207207207,0.9976851851851852,0.9840182648401826,432.0
18,0.9885321100917431,0.9016736401673641,0.9431072210065645,478.0
19,0.9762419006479481,0.9094567404426559,0.9416666666666667,497.0
20,0.9956331877729258,0.9402061855670103,0.9671261930010604,485.0
21,0.9019230769230769,0.9670103092783505,0.9333333333333333,485.0
22,0.9359504132231405,0.993421052631579,0.9638297872340426,456.0
23,0.9401709401709402,0.9887640449438202,0.963855421686747,445.0
24,0.9688715953307393,0.9861386138613861,0.9774288518155054,505.0
25,0.9882352941176471,0.967741935483871,0.9778812572759022,434.0
26,0.9688888888888889,0.9819819819819819,0.9753914988814317,444.0
27,0.9933481152993349,0.9824561403508771,0.9878721058434399,456.0
28,0.9623529411764706,0.9623529411764706,0.9623529411764706,425.0
29,0.902834008097166,0.9291666666666667,0.9158110882956879,480.0
30,0.927437641723356,0.8833693304535637,0.9048672566371682,463.0
31,0.9786324786324786,0.9744680851063829,0.976545842217484,470.0
32,0.9214780600461894,0.9151376146788991,0.9182968929804373,436.0
33,0.9274725274725275,0.9701149425287356,0.9483146067415731,435.0
34,0.9285714285714286,0.9102844638949672,0.9193370165745857,457.0
35,0.9876288659793815,0.9775510204081632,0.9825641025641025,490.0
36,0.991130820399113,0.9977678571428571,0.9944382647385984,448.0
37,0.9874213836477987,0.9792099792099792,0.9832985386221295,481.0
accuracy,,,0.9657409515137719,
macro avg,0.9661060914563284,0.9658050003550804,0.9656617140477017,17572.0
weighted avg,0.9663369913056231,0.9657409515137719,0.9657404714441815,17572.0
