class,precision,recall,f1_score,support
1,0.99802,1,0.99901,504
2,1,1,1,497
3,1,1,1,440
4,0.99603,1,0.99801,502
5,1,1,1,454
6,1,1,1,421
7,1,1,1,456
8,0.97772,0.96341,0.97052,410
9,0.9979,0.99581,0.99685,477
10,0.96488,0.97904,0.9719,477
11,0.99785,1,0.99893,465
12,1,1,1,472
13,1,1,1,480
14,1,1,1,430
15,1,1,1,423
16,0.99604,1,0.99802,503
17,1,0.99782,0.99891,459
18,0.99538,0.99769,0.99653,432
19,1,1,1,478
20,0.98413,0.99799,0.99101,497
21,1,1,1,485
22,0.99384,0.99794,0.99588,485
23,0.99777,0.98246,0.99006,456
24,1,0.99775,0.99888,445
25,0.99604,0.99604,0.99604,505
26,1,0.99078,0.99537,434
27,1,1,1,444
28,1,1,1,456
29,0.98829,0.99294,0.99061,425
30,0.99789,0.98333,0.99056,480
31,0.98077,0.99136,0.98604,463
32,1,0.99787,0.99894,470
33,0.9977,0.99312,0.9954,436
34,0.99074,0.98391,0.98731,435
35,0.98048,0.98906,0.98475,457
36,1,0.9898,0.99487,490
37,0.99777,1,0.99889,448
38,0.9938,1,0.99689,481
