<<<<<<< HEAD
epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
1,0.612091899,"[0.5219664573669434, 0.5614723563194275, 0.5469025373458862, 0.5084140300750732, 0.5301913619041443, 0.5522822141647339, 0.6531968712806702, 0.5691803097724915, 0.8496834635734558, 0.7407599091529846, 0.8643400073051453, 0.6504802107810974, 0.6835200786590576, 0.7657604813575745, 0.6224635243415833, 0.7274969220161438, 0.6257562041282654, 0.7081712484359741, 0.5249796509742737, 0.49599993228912354, 0.6476740837097168, 0.4796454906463623, 0.5143319964408875, 0.572494626045227, 0.6563780307769775, 0.7167933583259583, 0.6157277822494507, 0.7137212753295898, 0.6206676363945007, 0.4119177758693695, 0.403851717710495, 0.511167585849762, 0.3565494418144226, 0.6076317429542542, 0.4825362265110016, 0.7045812606811523, 0.7081210613250732, 0.7164934873580933]",1.311972618,0.848224461,"[0.7079090476036072, 0.8768185377120972, 0.7730569839477539, 0.7682262659072876, 0.8759438395500183, 0.8032035827636719, 0.9249999523162842, 0.7899602651596069, 0.9699570536613464, 0.8532109260559082, 0.9747898578643799, 0.8721506595611572, 0.9214208126068115, 0.9529410600662231, 0.9362214207649231, 0.9449900984764099, 0.8172292709350586, 0.926220178604126, 0.7528867721557617, 0.8139281272888184, 0.9102040529251099, 0.7764952182769775, 0.8175823092460632, 0.9322973489761353, 0.8811475038528442, 0.8916876316070557, 0.8614717721939087, 0.9213249683380127, 0.8357049226760864, 0.6844348907470703, 0.6626650094985962, 0.7769953012466431, 0.6476792693138123, 0.8116253614425659, 0.7763157486915588, 0.9280343055725098, 0.9410479664802551, 0.9384288191795349]",0.484319359
2,0.859933138,"[0.7997006773948669, 0.8731828927993774, 0.8504068851470947, 0.7849516868591309, 0.8586926460266113, 0.8896817564964294, 0.9067887663841248, 0.8388289213180542, 0.9716236591339111, 0.8995363116264343, 0.9788373112678528, 0.8645229339599609, 0.8928291201591492, 0.9373725056648254, 0.9212689995765686, 0.9318746328353882, 0.8564369082450867, 0.9157175421714783, 0.7983324527740479, 0.8160803318023682, 0.9118245840072632, 0.7986730933189392, 0.8275672793388367, 0.8844107985496521, 0.8829628825187683, 0.9260856509208679, 0.8822710514068604, 0.925966203212738, 0.8563829660415649, 0.7039225697517395, 0.6976610422134399, 0.7960804104804993, 0.6483162045478821, 0.8186528086662292, 0.7502065300941467, 0.9176649451255798, 0.9270172715187073, 0.9195579290390015]",0.438399315,0.912132919,"[0.8999999165534973, 0.9395973086357117, 0.8846153020858765, 0.9138109087944031, 0.9381898045539856, 0.9081631898880005, 0.9566184282302856, 0.8473451137542725, 0.9863013625144958, 0.908902645111084, 0.9935759902000427, 0.9060664176940918, 0.9235879182815552, 0.9647886157035828, 0.9856458306312561, 0.9562623500823975, 0.8919786214828491, 0.9683469533920288, 0.8779999613761902, 0.9140545129776001, 0.9542618989944458, 0.9074445366859436, 0.9105321764945984, 0.936170220375061, 0.9426876902580261, 0.9287469387054443, 0.9262925386428833, 0.9770491123199463, 0.8982455730438232, 0.7945776581764221, 0.8162344098091125, 0.8371583819389343, 0.7755101919174194, 0.8520285487174988, 0.8081395030021667, 0.9274106025695801, 0.9405519962310791, 0.9669421315193176]",0.277045459
3,0.913180172,"[0.8778549432754517, 0.9329650402069092, 0.9135454297065735, 0.8700251579284668, 0.9235406517982483, 0.9370919466018677, 0.9451268911361694, 0.8896402716636658, 0.9842602014541626, 0.9258391261100769, 0.9847061038017273, 0.9163578152656555, 0.9423125982284546, 0.9691859483718872, 0.9663119912147522, 0.9639392495155334, 0.9150968194007874, 0.9543758034706116, 0.8719542622566223, 0.8871007561683655, 0.948395311832428, 0.8703892827033997, 0.89649498462677, 0.928650975227356, 0.9252035617828369, 0.9526541829109192, 0.938118040561676, 0.9578312635421753, 0.9026548266410828, 0.8009516000747681, 0.8070659041404724, 0.8805297613143921, 0.7796024084091187, 0.8779923915863037, 0.8209320902824402, 0.9460771083831787, 0.9522486925125122, 0.9446032643318176]",0.268738508,0.928864121,"[0.9245087504386902, 0.9572988152503967, 0.9352177977561951, 0.9287862777709961, 0.9689578413963318, 0.8950130343437195, 0.9767441153526306, 0.8967135548591614, 0.9894736409187317, 0.9348985552787781, 0.9883102178573608, 0.9167482256889343, 0.9482758045196533, 0.9500608444213867, 0.9858490228652954, 0.9768377542495728, 0.9198682308197021, 0.9696968793869019, 0.8785045742988586, 0.91983962059021, 0.9449837803840637, 0.8828213214874268, 0.9594742059707642, 0.9490790963172913, 0.9588765501976013, 0.9754958748817444, 0.9511918425559998, 0.976795494556427, 0.9123594760894775, 0.779243528842926, 0.829106867313385, 0.9049586057662964, 0.8231440782546997, 0.8899876475334167, 0.8559753894805908, 0.9559117555618286, 0.9641692638397217, 0.9515607953071594]",0.222790286
4,0.936908722,"[0.9100816249847412, 0.96275794506073, 0.9385094046592712, 0.9046199917793274, 0.9415636658668518, 0.9589529633522034, 0.9576618075370789, 0.9035221934318542, 0.9916054010391235, 0.9348617792129517, 0.9870967268943787, 0.9394099116325378, 0.9582244753837585, 0.977299153804779, 0.9736295938491821, 0.9679023623466492, 0.9332968592643738, 0.9691374897956848, 0.9192578196525574, 0.9240823984146118, 0.9604519605636597, 0.9167957901954651, 0.9330037832260132, 0.9484015107154846, 0.9485911130905151, 0.9741675853729248, 0.9565216898918152, 0.9688353538513184, 0.9286770224571228, 0.8362773060798645, 0.8700657486915588, 0.9076923131942749, 0.8475540280342102, 0.905703604221344, 0.8574573397636414, 0.9607142210006714, 0.9719209671020508, 0.9570392966270447]",0.192595184,0.948839068,"[0.9423867464065552, 0.9746192097663879, 0.9474835395812988, 0.9617705941200256, 0.9620800614356995, 0.9749701023101807, 0.9396751523017883, 0.9138134121894836, 0.9894957542419434, 0.9508881568908691, 0.9903536438941956, 0.9624216556549072, 0.9670562744140625, 0.9918698668479919, 0.990476131439209, 0.9589301943778992, 0.9565216302871704, 0.9850056767463684, 0.9264705181121826, 0.9271136522293091, 0.9447982311248779, 0.8883877396583557, 0.9688194990158081, 0.9731543660163879, 0.9771143198013306, 0.9765257835388184, 0.9726651310920715, 0.9844788908958435, 0.9513888359069824, 0.8382774591445923, 0.8543498516082764, 0.9352517127990723, 0.8173454999923706, 0.9342403411865234, 0.8959275484085083, 0.9766021966934204, 0.9812980890274048, 0.9742001295089722]",0.156578794
5,0.954690933,"[0.940069317817688, 0.9731357097625732, 0.9607011079788208, 0.9360638856887817, 0.965422511100769, 0.9747848510742188, 0.9724419116973877, 0.9259485602378845, 0.9929226040840149, 0.9491789937019348, 0.9895188808441162, 0.955026388168335, 0.9666492342948914, 0.9811539649963379, 0.9869898557662964, 0.9821072816848755, 0.9521727561950684, 0.9763279557228088, 0.9416993260383606, 0.946225643157959, 0.9745173454284668, 0.9399948120117188, 0.9514191746711731, 0.9651684761047363, 0.9650383591651917, 0.9772005677223206, 0.9712837934494019, 0.9766930341720581, 0.9485142230987549, 0.8877201676368713, 0.9024721384048462, 0.9426446557044983, 0.8820834755897522, 0.9267179369926453, 0.8834523558616638, 0.9772900938987732, 0.9718112349510193, 0.9641185402870178]",0.138284206,0.942749858,"[0.9034266471862793, 0.9607842564582825, 0.9521586298942566, 0.914893627166748, 0.9464081525802612, 0.9449204206466675, 0.9415806531906128, 0.8953487277030945, 0.9883843660354614, 0.9534883499145508, 0.9882853031158447, 0.9540347456932068, 0.9577463865280151, 0.9906976222991943, 0.9870434999465942, 0.9730806946754456, 0.9129989147186279, 0.9567147493362427, 0.9326529502868652, 0.9313130378723145, 0.9469121694564819, 0.9356485605239868, 0.9724972248077393, 0.9680264592170715, 0.9673590660095215, 0.9670587182044983, 0.9499999284744263, 0.956887423992157, 0.9356013536453247, 0.8669438362121582, 0.8855490684509277, 0.9390373826026917, 0.8767123222351074, 0.90107262134552, 0.8847735524177551, 0.9544553756713867, 0.9481480717658997, 0.9772256016731262]",0.184572786
6,0.962145269,"[0.9465571641921997, 0.9740880131721497, 0.9632975459098816, 0.9423220157623291, 0.9652701020240784, 0.9765369296073914, 0.9737274050712585, 0.9369093775749207, 0.9942256808280945, 0.9571577310562134, 0.9905837178230286, 0.9609085917472839, 0.9739174842834473, 0.9825276732444763, 0.9858072400093079, 0.9850820302963257, 0.9669849872589111, 0.9812084436416626, 0.9596011638641357, 0.9494593739509583, 0.9755468964576721, 0.9453043341636658, 0.9642369151115417, 0.9702246785163879, 0.9680929780006409, 0.9839079976081848, 0.9758018255233765, 0.9789098501205444, 0.9529134035110474, 0.9127377271652222, 0.9252437353134155, 0.9517497420310974, 0.9098218679428101, 0.9395509362220764, 0.9112263917922974, 0.977029025554657, 0.9807530641555786, 0.9730289578437805]",0.111132592,0.956692457,"[0.9445004463195801, 0.9700103402137756, 0.9625424742698669, 0.9375638961791992, 0.9545454382896423, 0.9834514856338501, 0.94748854637146, 0.9210525751113892, 0.9947533011436462, 0.9451476335525513, 0.9913977980613708, 0.9483281970024109, 0.9450548887252808, 0.9941926598548889, 0.9916962385177612, 0.9802371263504028, 0.953513503074646, 0.9799764156341553, 0.9465968012809753, 0.9289190769195557, 0.9705583453178406, 0.9515150785446167, 0.9597314596176147, 0.9557712078094482, 0.9678714275360107, 0.9771689176559448, 0.9782856702804565, 0.9847825765609741, 0.954761803150177, 0.8927124738693237, 0.9191582798957825, 0.9389001131057739, 0.9022378921508789, 0.9392264485359192, 0.8961492776870728, 0.9765544533729553, 0.9900551438331604, 0.9804728031158447]",0.140762657
7,0.971776068,"[0.9583538770675659, 0.9829144477844238, 0.9741550087928772, 0.9595404267311096, 0.9719007611274719, 0.9869125485420227, 0.9811113476753235, 0.9570252299308777, 0.995541512966156, 0.9675901532173157, 0.995968759059906, 0.9764487743377686, 0.9838373064994812, 0.9910013675689697, 0.9893616437911987, 0.9855505228042603, 0.9736340641975403, 0.98316890001297, 0.9626924395561218, 0.960503101348877, 0.9842904806137085, 0.9560496211051941, 0.9685705304145813, 0.9789856672286987, 0.9775252342224121, 0.9907886981964111, 0.9845026135444641, 0.9843962788581848, 0.9661863446235657, 0.9352067708969116, 0.943243145942688, 0.9696807861328125, 0.9306589365005493, 0.9527084827423096, 0.9241340756416321, 0.9785385131835938, 0.9877300262451172, 0.9789555072784424]",0.086256184,0.951741397,"[0.940119743347168, 0.9721669554710388, 0.9260041117668152, 0.9484534859657288, 0.9779248833656311, 0.9769696593284607, 0.9800884127616882, 0.9153373837471008, 0.9915788769721985, 0.941658079624176, 0.9935896992683411, 0.9174128770828247, 0.9380530118942261, 0.9761903882026672, 0.9976414442062378, 0.9819638133049011, 0.9484303593635559, 0.9884258508682251, 0.8970163464546204, 0.9302769303321838, 0.9608465433120728, 0.9303796887397766, 0.9411764144897461, 0.9690264463424683, 0.972918689250946, 0.9848660230636597, 0.9784335494041443, 0.9846826195716858, 0.9452851414680481, 0.8867313265800476, 0.9086955189704895, 0.9582886695861816, 0.8684210181236267, 0.9355931878089905, 0.8764301538467407, 0.9735233783721924, 0.9834982752799988, 0.9789915084838867]",0.15643844
8,0.975161791,"[0.9667328596115112, 0.9859154224395752, 0.9738932251930237, 0.9680318832397461, 0.9774476289749146, 0.9872061610221863, 0.9833287000656128, 0.9560438394546509, 0.9968536496162415, 0.9662744402885437, 0.9932777285575867, 0.9783068299293518, 0.9843505620956421, 0.9898461699485779, 0.9911293983459473, 0.9865871071815491, 0.9781897068023682, 0.9881330728530884, 0.9707571864128113, 0.9708102345466614, 0.9829808473587036, 0.9690242409706116, 0.9661756753921509, 0.9783768057823181, 0.9806929230690002, 0.9870278835296631, 0.9822083115577698, 0.9849272966384888, 0.9656589031219482, 0.947889506816864, 0.9549500346183777, 0.9765207171440125, 0.9393938779830933, 0.9649626016616821, 0.9327133297920227, 0.9851813912391663, 0.9855152368545532, 0.9776853919029236]",0.075089291,0.957489192,"[0.9487178921699524, 0.975359320640564, 0.9759449362754822, 0.9411764740943909, 0.964630126953125, 0.9767981171607971, 0.9764309525489807, 0.927810549736023, 0.990575909614563, 0.9451021552085876, 0.9946523308753967, 0.9579486846923828, 0.9655171632766724, 0.9835293292999268, 0.995249330997467, 0.9705582857131958, 0.9516648054122925, 0.9641255736351013, 0.9114171862602234, 0.9206962585449219, 0.9793387651443481, 0.9294244647026062, 0.9813390970230103, 0.97123122215271, 0.9719999432563782, 0.9895712733268738, 0.9819819331169128, 0.977443516254425, 0.9414575695991516, 0.8916826844215393, 0.9090908765792847, 0.9368634819984436, 0.853437066078186, 0.9461358189582825, 0.9232386350631714, 0.9847715497016907, 0.9932885766029358, 0.9864723682403564]",0.141949639
9,0.979017019,"[0.9732142090797424, 0.9866867661476135, 0.9835319519042969, 0.9716417193412781, 0.9782548546791077, 0.9905043840408325, 0.9874041080474854, 0.9737964272499084, 0.9963311553001404, 0.9787901639938354, 0.9962385296821594, 0.9806519746780396, 0.9869926571846008, 0.9912942051887512, 0.9955711960792542, 0.9887976050376892, 0.9822936058044434, 0.9890045523643494, 0.9704265594482422, 0.9722921252250671, 0.9878958463668823, 0.9742532968521118, 0.9742746949195862, 0.9784132242202759, 0.9794604182243347, 0.9904980659484863, 0.9890109896659851, 0.9857220649719238, 0.9761974215507507, 0.94917893409729, 0.9572510719299316, 0.9718233942985535, 0.9455488324165344, 0.9601376056671143, 0.9468492269515991, 0.9877550601959229, 0.9891152381896973, 0.9865074753761292]",0.064630605,0.967618942,"[0.9598432183265686, 0.9929363131523132, 0.9773241877555847, 0.960985541343689, 0.9778760075569153, 0.9869822263717651, 0.9833147525787354, 0.9136093854904175, 0.9872880578041077, 0.9484752416610718, 0.9891539812088013, 0.9700722098350525, 0.9777306318283081, 0.9917935729026794, 0.9964412450790405, 0.9879999160766602, 0.9605122208595276, 0.989571213722229, 0.9698857069015503, 0.9637095928192139, 0.9726889729499817, 0.9578058123588562, 0.9571105241775513, 0.9391674995422363, 0.9728642702102661, 0.9839449524879456, 0.9701656103134155, 0.9827213287353516, 0.9680472612380981, 0.9171150922775269, 0.9253730177879333, 0.9778246879577637, 0.9171395301818848, 0.953488290309906, 0.9290321469306946, 0.9828455448150635, 0.991071343421936, 0.984455943107605]",0.111461788
10,0.981805265,"[0.9723045825958252, 0.9884130358695984, 0.9843792915344238, 0.9703018665313721, 0.9862182140350342, 0.9928697943687439, 0.9887824654579163, 0.9719853401184082, 0.9960680603981018, 0.9806079268455505, 0.9967775940895081, 0.9875495433807373, 0.9929705262184143, 0.9936156868934631, 0.9949747323989868, 0.9925447106361389, 0.9803920984268188, 0.9924898147583008, 0.9778009057044983, 0.9786270260810852, 0.9889203906059265, 0.9786137342453003, 0.9788519144058228, 0.9811955690383911, 0.9806929230690002, 0.9907833337783813, 0.9907068014144897, 0.9898657202720642, 0.9762253165245056, 0.963987410068512, 0.9648268222808838, 0.9782029986381531, 0.9572452902793884, 0.9679266214370728, 0.9480020999908447, 0.9872252941131592, 0.9838078022003174, 0.9825838208198547]",0.056940239,0.965740979,"[0.9748236536979675, 0.9817444086074829, 0.9674522876739502, 0.9639024138450623, 0.975770890712738, 0.9794436693191528, 0.9825707674026489, 0.9186602234840393, 0.9915788769721985, 0.9480248689651489, 0.9924324154853821, 0.9740931987762451, 0.9863873720169067, 0.987194299697876, 0.9940687417984009, 0.989141047000885, 0.9665178060531616, 0.9840181469917297, 0.9431071877479553, 0.9416666030883789, 0.9671261310577393, 0.9333332180976868, 0.963829755783081, 0.9638553261756897, 0.9774288535118103, 0.9778811931610107, 0.9753914475440979, 0.9878720045089722, 0.9623528718948364, 0.9158110022544861, 0.9048671722412109, 0.9765458106994629, 0.9182968139648438, 0.9483144879341125, 0.9193369746208191, 0.9825640320777893, 0.9944381713867188, 0.9832984209060669]",0.113951519
